n,Î±=0.05
1,0.950000
2,1.900000
3,2.550000
4,2.895238
5,3.495833
6,3.870667
7,4.390537
8,4.822526
9,5.241246
10,5.750110
11,6.043556
12,6.651002
13,6.950970
14,7.521177
15,7.874660
16,8.355084
17,8.777889
18,9.145551
19,9.656577
20,9.963758
21,10.505618
22,10.864770
23,11.318711
24,11.745254
25,12.088127
26,12.600430
27,12.929964
28,13.424593
29,13.809566
30,14.210877
31,14.666724
32,14.980450
33,15.496191
34,15.857998
35,16.291741
36,16.715025
37,17.045931
38,17.546653
39,17.894757
40,18.347142
41,18.750469
42,19.109678
43,19.582389
44,19.922291
45,20.385156
46,20.775966
47,21.152441
48,21.606980
49,21.942183
50,22.410276
51,22.793337
52,23.179905
53,23.622626
54,23.955526
55,24.425232
56,24.803812
57,25.195513
58,25.630777
59,25.963112
60,26.431802
61,26.808260
62,27.201487
63,27.632443
64,27.965536
65,28.431199
66,28.807321
67,29.199330
68,29.628349
69,29.963253
70,30.424289
71,30.801479
72,31.190102
73,31.619038
74,31.956621
75,32.411705
76,32.791107
77,33.174572
78,33.604920
79,33.945924
80,34.393920
81,34.776496
82,35.153307
83,35.586312
84,35.931385
85,36.371298
86,36.757878
87,37.126738
88,37.563462
89,37.913188
90,38.344116
91,38.735435
92,39.095193
93,39.536562
94,39.891475
95,40.312589
96,40.709310
97,41.058923
98,41.505763
99,41.866363
100,42.276886
